"reader_phrase","gordon_phrase","status","viable_generated_targets","attempted_generated_targets","chunks_attempted","behavior_classes_checked","last_gpu_output"
"MOMENTHIDDEATH","LUXNOXNEEDMIND","no_viable_targets","0","0","0","0",
"THEDAYHIDDEATH","HELIOISCONFLUX","no_viable_targets","0","0","0","0",
"DEATHREWRITTEN","TIMEISACONFLUX","no_viable_targets","0","0","0","0",
"DEATHWASERASED","ANIMUSANCHORLN","no_viable_targets","0","0","0","0",
"MOMENTHIDDEATH","LUXNOXWITHMIND","no_viable_targets","0","0","0","0",
"THEDAYHIDDEATH","ORDERCHAOSMIND","no_viable_targets","0","0","0","0",
"SECRETLOOPDEAD","ORDERCHAOSMIND","no_viable_targets","0","0","0","0",
"ONEYEARINWEEKS","ORDERCHAOSMIND","no_viable_targets","0","0","0","0",
"MOMENTHIDDEATH","CONFLUXUSESLNA","no_viable_targets","0","0","0","0",
"THEDAYHIDDEATH","CONFLUXUSESLNA","no_viable_targets","0","0","0","0",
"DEATHWASERASED","CONFLUXUSESLNA","no_viable_targets","0","0","0","0",
"DEATHREWRITTEN","CONFLUXUSESLNA","no_viable_targets","0","0","0","0",
"HEWASDEADFIRST","CONFLUXUSESLNA","no_viable_targets","0","0","0","0",
"SECRETLOOPDEAD","ANIMUSISTHEKEY","no_viable_targets","0","0","0","0",
"ONEYEARINWEEKS","ANIMUSISTHEKEY","no_viable_targets","0","0","0","0",
"HEWASDEADFIRST","MINDORDERCHAOS","no_viable_targets","0","0","0","0",
